ASRS01,"How often do you have trouble wrapping up the final details of a project, once the challenging parts have been done?"
ASRS02,How often do you have difficulty getting things in order when you have to do a task that requires organization?
ASRS03,How often do you have problems remembering appointments or obligations?
ASRS04,"When you have a task that requires a lot of thought, how often do you avoid or delay getting started?"
ASRS05,How often do you fidget or squirm with your hands or feet when you have to sit down for a long time?
ASRS06,"How often do you feel overly active and compelled to do things, like you were driven by a motor?"
ASRS07,How often do you make careless mistakes when you have to work on a boring or difficult project?
ASRS08,How often do you have difficulty keeping your attention when you are doing boring or repetitive work?
ASRS09,"How often do you have difficulty concentrating on what people say to you, even when they are speaking to you directly?"
ASRS10,How often do you misplace or have difficulty finding things at home or at work?
ASRS11,How often are you distracted by activity or noise around you?
ASRS12,How often do you leave your seat in meetings or other situations in which you are expected to remain seated?
ASRS13,How often do you feel restless or fidgety?
ASRS14,How often do you have difficulty unwinding and relaxing when you have time to yourself?
ASRS15,How often do you find yourself talking too much when you are in social situations?
ASRS16,"When you’re in a conversation, how often do you find yourself finishing the sentences of the people you are talking to, before they can finish them themselves?"
ASRS17,How often do you have difficulty waiting your turn in situations when turn taking is required?
ASRS18,How often do you interrupt others when they are busy?